country,sector,year,median,p25,premium_pct,cv,gini
Belgium,21  Refining of mineral oil,2015.0,6267719.0,6267719.0,0.0,0.0,0.0
Belgium,21  Refining of mineral oil,2016.0,6083321.0,6083321.0,0.0,0.0,0.0
Belgium,21  Refining of mineral oil,2017.0,6051996.0,6051996.0,0.0,0.0,0.0
Belgium,21  Refining of mineral oil,2018.0,6141592.0,6141592.0,0.0,0.0,0.0
Belgium,21  Refining of mineral oil,2019.0,6616155.0,6616155.0,0.0,0.0,0.0
Belgium,21  Refining of mineral oil,2020.0,5792283.0,5792283.0,0.0,0.0,0.0
Belgium,21  Refining of mineral oil,2021.0,6039538.0,6039538.0,0.0,0.0,0.0
Belgium,21  Refining of mineral oil,2022.0,5657781.0,5657781.0,0.0,0.0,0.0
Belgium,21  Refining of mineral oil,2023.0,5475804.0,5475804.0,0.0,0.0,0.0
Belgium,21-99 All industrial installations (excl. combustion),2015.0,28660115.0,28660115.0,0.0,0.0,0.0
Belgium,21-99 All industrial installations (excl. combustion),2016.0,28627951.0,28627951.0,0.0,0.0,0.0
Belgium,21-99 All industrial installations (excl. combustion),2017.0,28679940.0,28679940.0,0.0,0.0,0.0
Belgium,21-99 All industrial installations (excl. combustion),2018.0,28907385.0,28907385.0,0.0,0.0,0.0
Belgium,21-99 All industrial installations (excl. combustion),2019.0,28661033.0,28661033.0,0.0,0.0,0.0
Belgium,21-99 All industrial installations (excl. combustion),2020.0,26677512.0,26677512.0,0.0,0.0,0.0
Belgium,21-99 All industrial installations (excl. combustion),2021.0,27720606.0,27720606.0,0.0,0.0,0.0
Belgium,21-99 All industrial installations (excl. combustion),2022.0,25236532.0,25236532.0,0.0,0.0,0.0
Belgium,21-99 All industrial installations (excl. combustion),2023.0,24017377.0,24017377.0,0.0,0.0,0.0
Belgium,24  Production of pig iron or steel,2015.0,4523573.0,4523573.0,0.0,0.0,0.0
Belgium,24  Production of pig iron or steel,2016.0,5078033.0,5078033.0,0.0,0.0,0.0
Belgium,24  Production of pig iron or steel,2017.0,4920479.0,4920479.0,0.0,0.0,0.0
Belgium,24  Production of pig iron or steel,2018.0,5049448.0,5049448.0,0.0,0.0,0.0
Belgium,24  Production of pig iron or steel,2019.0,4841850.0,4841850.0,0.0,0.0,0.0
Belgium,24  Production of pig iron or steel,2020.0,3924794.0,3924794.0,0.0,0.0,0.0
Belgium,24  Production of pig iron or steel,2021.0,4520538.0,4520538.0,0.0,0.0,0.0
Belgium,24  Production of pig iron or steel,2022.0,4230026.0,4230026.0,0.0,0.0,0.0
Belgium,24  Production of pig iron or steel,2023.0,4084515.0,4084515.0,0.0,0.0,0.0
Belgium,25 Production or processing of ferrous metals,2015.0,400610.0,400610.0,0.0,0.0,0.0
Belgium,25 Production or processing of ferrous metals,2016.0,425203.0,425203.0,0.0,0.0,0.0
Belgium,25 Production or processing of ferrous metals,2017.0,437475.0,437475.0,0.0,0.0,0.0
Belgium,25 Production or processing of ferrous metals,2018.0,463087.0,463087.0,0.0,0.0,0.0
Belgium,25 Production or processing of ferrous metals,2019.0,437800.0,437800.0,0.0,0.0,0.0
Belgium,25 Production or processing of ferrous metals,2020.0,395168.0,395168.0,0.0,0.0,0.0
Belgium,25 Production or processing of ferrous metals,2021.0,354019.0,354019.0,0.0,0.0,0.0
Belgium,25 Production or processing of ferrous metals,2022.0,317637.0,317637.0,0.0,0.0,0.0
Belgium,25 Production or processing of ferrous metals,2023.0,282092.0,282092.0,0.0,0.0,0.0
Belgium,28 Production or processing of non-ferrous metals,2015.0,424917.0,424917.0,0.0,0.0,0.0
Belgium,28 Production or processing of non-ferrous metals,2016.0,425397.0,425397.0,0.0,0.0,0.0
Belgium,28 Production or processing of non-ferrous metals,2017.0,436140.0,436140.0,0.0,0.0,0.0
Belgium,28 Production or processing of non-ferrous metals,2018.0,455439.0,455439.0,0.0,0.0,0.0
Belgium,28 Production or processing of non-ferrous metals,2019.0,431895.0,431895.0,0.0,0.0,0.0
Belgium,28 Production or processing of non-ferrous metals,2020.0,403272.0,403272.0,0.0,0.0,0.0
Belgium,28 Production or processing of non-ferrous metals,2021.0,420900.0,420900.0,0.0,0.0,0.0
Belgium,28 Production or processing of non-ferrous metals,2022.0,388072.0,388072.0,0.0,0.0,0.0
Belgium,28 Production or processing of non-ferrous metals,2023.0,383155.0,383155.0,0.0,0.0,0.0
Belgium,29 Production of cement clinker,2015.0,3501555.0,3501555.0,0.0,0.0,0.0
Belgium,29 Production of cement clinker,2016.0,3613890.0,3613890.0,0.0,0.0,0.0
Belgium,29 Production of cement clinker,2017.0,3338960.0,3338960.0,0.0,0.0,0.0
Belgium,29 Production of cement clinker,2018.0,3693760.0,3693760.0,0.0,0.0,0.0
Belgium,29 Production of cement clinker,2019.0,4150759.0,4150759.0,0.0,0.0,0.0
Belgium,29 Production of cement clinker,2020.0,3904538.0,3904538.0,0.0,0.0,0.0
Belgium,29 Production of cement clinker,2021.0,3875963.0,3875963.0,0.0,0.0,0.0
