country,sector,year,n_observations,mean_emissions,std_emissions,cv,p10,p25,p50,p75,p90,p90_p10_ratio,gini,min,max
Austria,"30 Production of lime, or calcination of dolomite/magnesite",2020.0,2,1047108.0,0.0,0.0,1047108.0,1047108.0,1047108.0,1047108.0,1047108.0,1.0,0.0,1047108.0,1047108.0
Austria,"30 Production of lime, or calcination of dolomite/magnesite",2021.0,2,1258695.0,0.0,0.0,1258695.0,1258695.0,1258695.0,1258695.0,1258695.0,1.0,0.0,1258695.0,1258695.0
Austria,"30 Production of lime, or calcination of dolomite/magnesite",2022.0,2,1188927.0,0.0,0.0,1188927.0,1188927.0,1188927.0,1188927.0,1188927.0,1.0,0.0,1188927.0,1188927.0
Austria,"30 Production of lime, or calcination of dolomite/magnesite",2023.0,2,1194190.0,0.0,0.0,1194190.0,1194190.0,1194190.0,1194190.0,1194190.0,1.0,0.0,1194190.0,1194190.0
Austria,31 Manufacture of glass,2015.0,2,193224.0,0.0,0.0,193224.0,193224.0,193224.0,193224.0,193224.0,1.0,0.0,193224.0,193224.0
Austria,31 Manufacture of glass,2016.0,2,183679.0,0.0,0.0,183679.0,183679.0,183679.0,183679.0,183679.0,1.0,0.0,183679.0,183679.0
Austria,31 Manufacture of glass,2017.0,2,190013.0,0.0,0.0,190013.0,190013.0,190013.0,190013.0,190013.0,1.0,0.0,190013.0,190013.0
Austria,31 Manufacture of glass,2018.0,2,186958.0,0.0,0.0,186958.0,186958.0,186958.0,186958.0,186958.0,1.0,0.0,186958.0,186958.0
Austria,31 Manufacture of glass,2019.0,2,195259.0,0.0,0.0,195259.0,195259.0,195259.0,195259.0,195259.0,1.0,0.0,195259.0,195259.0
Austria,31 Manufacture of glass,2020.0,2,190899.0,0.0,0.0,190899.0,190899.0,190899.0,190899.0,190899.0,1.0,0.0,190899.0,190899.0
Austria,31 Manufacture of glass,2021.0,2,187855.0,0.0,0.0,187855.0,187855.0,187855.0,187855.0,187855.0,1.0,0.0,187855.0,187855.0
Austria,31 Manufacture of glass,2022.0,2,193942.0,0.0,0.0,193942.0,193942.0,193942.0,193942.0,193942.0,1.0,0.0,193942.0,193942.0
Austria,31 Manufacture of glass,2023.0,2,192441.0,0.0,0.0,192441.0,192441.0,192441.0,192441.0,192441.0,1.0,0.0,192441.0,192441.0
Austria,32 Manufacture of ceramics,2015.0,2,341800.0,0.0,0.0,341800.0,341800.0,341800.0,341800.0,341800.0,1.0,0.0,341800.0,341800.0
Austria,32 Manufacture of ceramics,2016.0,2,345982.0,0.0,0.0,345982.0,345982.0,345982.0,345982.0,345982.0,1.0,0.0,345982.0,345982.0
Austria,32 Manufacture of ceramics,2017.0,2,357113.0,0.0,0.0,357113.0,357113.0,357113.0,357113.0,357113.0,1.0,0.0,357113.0,357113.0
Austria,32 Manufacture of ceramics,2018.0,2,373511.0,0.0,0.0,373511.0,373511.0,373511.0,373511.0,373511.0,1.0,0.0,373511.0,373511.0
Austria,32 Manufacture of ceramics,2019.0,2,375454.0,0.0,0.0,375454.0,375454.0,375454.0,375454.0,375454.0,1.0,0.0,375454.0,375454.0
Austria,32 Manufacture of ceramics,2020.0,2,361856.0,0.0,0.0,361856.0,361856.0,361856.0,361856.0,361856.0,1.0,0.0,361856.0,361856.0
Austria,32 Manufacture of ceramics,2021.0,2,350780.0,0.0,0.0,350780.0,350780.0,350780.0,350780.0,350780.0,1.0,0.0,350780.0,350780.0
Austria,32 Manufacture of ceramics,2022.0,2,330846.0,0.0,0.0,330846.0,330846.0,330846.0,330846.0,330846.0,1.0,0.0,330846.0,330846.0
Austria,32 Manufacture of ceramics,2023.0,2,207446.0,0.0,0.0,207446.0,207446.0,207446.0,207446.0,207446.0,1.0,0.0,207446.0,207446.0
Austria,34 Production or processing of gypsum or plasterboard,2015.0,2,48752.0,0.0,0.0,48752.0,48752.0,48752.0,48752.0,48752.0,1.0,0.0,48752.0,48752.0
Austria,34 Production or processing of gypsum or plasterboard,2016.0,2,50561.0,0.0,0.0,50561.0,50561.0,50561.0,50561.0,50561.0,1.0,0.0,50561.0,50561.0
Austria,34 Production or processing of gypsum or plasterboard,2017.0,2,49672.0,0.0,0.0,49672.0,49672.0,49672.0,49672.0,49672.0,1.0,0.0,49672.0,49672.0
Austria,34 Production or processing of gypsum or plasterboard,2018.0,2,52014.0,0.0,0.0,52014.0,52014.0,52014.0,52014.0,52014.0,1.0,0.0,52014.0,52014.0
Austria,34 Production or processing of gypsum or plasterboard,2019.0,2,52425.0,0.0,0.0,52425.0,52425.0,52425.0,52425.0,52425.0,1.0,0.0,52425.0,52425.0
Austria,34 Production or processing of gypsum or plasterboard,2020.0,2,54123.0,0.0,0.0,54123.0,54123.0,54123.0,54123.0,54123.0,1.0,0.0,54123.0,54123.0
Austria,34 Production or processing of gypsum or plasterboard,2021.0,2,25941.0,0.0,0.0,25941.0,25941.0,25941.0,25941.0,25941.0,1.0,0.0,25941.0,25941.0
Austria,34 Production or processing of gypsum or plasterboard,2022.0,2,25825.0,0.0,0.0,25825.0,25825.0,25825.0,25825.0,25825.0,1.0,0.0,25825.0,25825.0
Austria,34 Production or processing of gypsum or plasterboard,2023.0,2,19933.0,0.0,0.0,19933.0,19933.0,19933.0,19933.0,19933.0,1.0,0.0,19933.0,19933.0
Austria,35 Production of pulp,2015.0,2,438474.0,0.0,0.0,438474.0,438474.0,438474.0,438474.0,438474.0,1.0,0.0,438474.0,438474.0
Austria,35 Production of pulp,2016.0,2,441307.0,0.0,0.0,441307.0,441307.0,441307.0,441307.0,441307.0,1.0,0.0,441307.0,441307.0
Austria,35 Production of pulp,2017.0,2,491698.0,0.0,0.0,491698.0,491698.0,491698.0,491698.0,491698.0,1.0,0.0,491698.0,491698.0
Austria,35 Production of pulp,2018.0,2,485166.0,0.0,0.0,485166.0,485166.0,485166.0,485166.0,485166.0,1.0,0.0,485166.0,485166.0
Austria,35 Production of pulp,2019.0,2,440127.0,0.0,0.0,440127.0,440127.0,440127.0,440127.0,440127.0,1.0,0.0,440127.0,440127.0
Austria,35 Production of pulp,2020.0,2,401311.0,0.0,0.0,401311.0,401311.0,401311.0,401311.0,401311.0,1.0,0.0,401311.0,401311.0
Austria,35 Production of pulp,2021.0,2,417269.0,0.0,0.0,417269.0,417269.0,417269.0,417269.0,417269.0,1.0,0.0,417269.0,417269.0
Austria,35 Production of pulp,2022.0,2,266626.0,0.0,0.0,266626.0,266626.0,266626.0,266626.0,266626.0,1.0,0.0,266626.0,266626.0
Austria,35 Production of pulp,2023.0,2,187002.0,0.0,0.0,187002.0,187002.0,187002.0,187002.0,187002.0,1.0,0.0,187002.0,187002.0
Austria,36 Production of paper or cardboard,2015.0,2,1179988.0,0.0,0.0,1179988.0,1179988.0,1179988.0,1179988.0,1179988.0,1.0,0.0,1179988.0,1179988.0
Austria,36 Production of paper or cardboard,2016.0,2,1127053.0,0.0,0.0,1127053.0,1127053.0,1127053.0,1127053.0,1127053.0,1.0,0.0,1127053.0,1127053.0
Austria,36 Production of paper or cardboard,2017.0,2,1154339.0,0.0,0.0,1154339.0,1154339.0,1154339.0,1154339.0,1154339.0,1.0,0.0,1154339.0,1154339.0
Austria,36 Production of paper or cardboard,2018.0,2,1178618.0,0.0,0.0,1178618.0,1178618.0,1178618.0,1178618.0,1178618.0,1.0,0.0,1178618.0,1178618.0
Austria,36 Production of paper or cardboard,2019.0,2,1141883.0,0.0,0.0,1141883.0,1141883.0,1141883.0,1141883.0,1141883.0,1.0,0.0,1141883.0,1141883.0
Austria,36 Production of paper or cardboard,2020.0,2,1102980.0,0.0,0.0,1102980.0,1102980.0,1102980.0,1102980.0,1102980.0,1.0,0.0,1102980.0,1102980.0
Austria,36 Production of paper or cardboard,2021.0,2,1094211.0,0.0,0.0,1094211.0,1094211.0,1094211.0,1094211.0,1094211.0,1.0,0.0,1094211.0,1094211.0
Austria,36 Production of paper or cardboard,2022.0,2,966144.0,0.0,0.0,966144.0,966144.0,966144.0,966144.0,966144.0,1.0,0.0,966144.0,966144.0
Austria,36 Production of paper or cardboard,2023.0,2,782000.0,0.0,0.0,782000.0,782000.0,782000.0,782000.0,782000.0,1.0,0.0,782000.0,782000.0
Austria,38 Production of nitric acid,2015.0,2,46856.0,0.0,0.0,46856.0,46856.0,46856.0,46856.0,46856.0,1.0,0.0,46856.0,46856.0
Austria,38 Production of nitric acid,2016.0,2,36374.0,0.0,0.0,36374.0,36374.0,36374.0,36374.0,36374.0,1.0,0.0,36374.0,36374.0
Austria,38 Production of nitric acid,2017.0,2,38998.0,0.0,0.0,38998.0,38998.0,38998.0,38998.0,38998.0,1.0,0.0,38998.0,38998.0
Austria,38 Production of nitric acid,2018.0,2,56719.0,0.0,0.0,56719.0,56719.0,56719.0,56719.0,56719.0,1.0,0.0,56719.0,56719.0
Austria,38 Production of nitric acid,2019.0,2,81598.0,0.0,0.0,81598.0,81598.0,81598.0,81598.0,81598.0,1.0,0.0,81598.0,81598.0
Austria,38 Production of nitric acid,2020.0,2,53203.0,0.0,0.0,53203.0,53203.0,53203.0,53203.0,53203.0,1.0,0.0,53203.0,53203.0
Austria,38 Production of nitric acid,2021.0,2,42006.0,0.0,0.0,42006.0,42006.0,42006.0,42006.0,42006.0,1.0,0.0,42006.0,42006.0
Austria,38 Production of nitric acid,2022.0,2,23475.0,0.0,0.0,23475.0,23475.0,23475.0,23475.0,23475.0,1.0,0.0,23475.0,23475.0
Austria,38 Production of nitric acid,2023.0,2,27802.0,0.0,0.0,27802.0,27802.0,27802.0,27802.0,27802.0,1.0,0.0,27802.0,27802.0
Austria,41 Production of ammonia,2015.0,2,896718.0,0.0,0.0,896718.0,896718.0,896718.0,896718.0,896718.0,1.0,0.0,896718.0,896718.0
Austria,41 Production of ammonia,2016.0,2,945034.0,0.0,0.0,945034.0,945034.0,945034.0,945034.0,945034.0,1.0,0.0,945034.0,945034.0
Austria,41 Production of ammonia,2017.0,2,880922.0,0.0,0.0,880922.0,880922.0,880922.0,880922.0,880922.0,1.0,0.0,880922.0,880922.0
Austria,41 Production of ammonia,2018.0,2,705651.0,0.0,0.0,705651.0,705651.0,705651.0,705651.0,705651.0,1.0,0.0,705651.0,705651.0
Austria,41 Production of ammonia,2019.0,2,962179.0,0.0,0.0,962179.0,962179.0,962179.0,962179.0,962179.0,1.0,0.0,962179.0,962179.0
Austria,41 Production of ammonia,2020.0,2,912724.0,0.0,0.0,912724.0,912724.0,912724.0,912724.0,912724.0,1.0,0.0,912724.0,912724.0
Austria,41 Production of ammonia,2021.0,2,876301.0,0.0,0.0,876301.0,876301.0,876301.0,876301.0,876301.0,1.0,0.0,876301.0,876301.0
Austria,41 Production of ammonia,2022.0,2,761076.0,0.0,0.0,761076.0,761076.0,761076.0,761076.0,761076.0,1.0,0.0,761076.0,761076.0
Austria,41 Production of ammonia,2023.0,2,803052.0,0.0,0.0,803052.0,803052.0,803052.0,803052.0,803052.0,1.0,0.0,803052.0,803052.0
