country,ymabs,sb_rate,comp3_rate,n,cohort,id
CZ,24212,0.3697978596908442,0.3436385255648038,841,24195,4
CZ,24213,0.4795262267343486,0.29441624365482233,2955,24195,4
CZ,24214,0.3731481481481482,0.38425925925925924,1080,24195,4
CZ,24215,0.5158648925281474,0.27942681678607983,977,24195,4
CZ,24216,0.4598957039980134,0.346163397069779,4027,24195,4
CZ,24217,0.2990152193375112,0.5246195165622203,1117,24195,4
CZ,24218,0.3449447748513169,0.44774851316907394,1177,24195,4
CZ,24219,0.5735675208753239,0.23610711200691045,3473,24195,4
CZ,24220,0.4206611570247934,0.3694214876033058,1210,24195,4
CZ,24221,0.4765765765765766,0.2963963963963964,1110,24195,4
CZ,24222,0.5576635047428856,0.2488766849725412,4006,24195,4
CZ,24223,0.4201388888888889,0.3333333333333333,1440,24195,4
CZ,24224,0.4910958904109589,0.2541095890410959,1460,24195,4
CZ,24225,0.5621948384096722,0.2497093699139735,4301,24195,4
CZ,24226,0.5414057063326374,0.2616562282533055,1437,24195,4
CZ,24227,0.4588457899716178,0.30842005676442763,1057,24195,4
CZ,24228,0.5412293853073463,0.28849860783893766,4669,24195,4
CZ,24229,0.37351308485329104,0.4639175257731959,1261,24195,4
CZ,24230,0.48125,0.3104166666666667,960,24195,4
CZ,24231,0.5758764403039961,0.23902917381711203,4079,24195,4
CZ,24232,0.537567084078712,0.2853309481216458,1118,24195,4
CZ,24233,0.40039447731755423,0.3915187376725838,1014,24195,4
CZ,24234,0.5479888490641179,0.24970131421744324,5022,24195,4
CZ,24235,0.4192521877486078,0.3420843277645187,1257,24195,4
CZ,24236,0.4231974921630094,0.31974921630094044,957,24195,4
CZ,24237,0.7343485617597293,0.14720812182741116,591,24195,4
CZ,24238,0.38411819021237303,0.4275161588180979,1083,24195,4
CZ,24239,0.5277777777777778,0.25,36,24195,4
CZ,24240,0.5715590047934261,0.24400821730198585,4381,24195,4
CZ,24241,0.49723247232472323,0.29797047970479706,1084,24195,4
CZ,24242,0.4258589511754069,0.3453887884267631,1106,24195,4
CZ,24243,0.5112179487179487,0.31677350427350426,3744,24195,4
CZ,24244,0.36514822848879247,0.45336225596529284,1383,24195,4
CZ,24245,0.44115082824760243,0.3722755013077594,1147,24195,4
CZ,24246,0.47699757869249393,0.3579132731675105,4543,24195,4
CZ,24247,0.3550583657587549,0.43190661478599224,1028,24195,4
CZ,24248,0.459211732355637,0.3519706691109074,1091,24195,4
CZ,24249,0.5273270708795901,0.30081127241673783,4684,24195,4
CZ,24250,0.4375896700143472,0.3436154949784792,1394,24195,4
CZ,24251,0.4160777385159011,0.38604240282685515,1132,24195,4
DE,24182,0.22003577817531306,0.627906976744186,559,24193,5
DE,24183,0.12317728319263238,0.7513430544896393,2606,24193,5
DE,24184,0.13298928146089717,0.7483128225486304,2519,24193,5
DE,24185,0.13230495401957876,0.7181845149807179,3371,24193,5
DE,24186,0.14217896985521006,0.6964158556847851,4213,24193,5
DE,24187,0.16087477531455963,0.6692630317555422,3338,24193,5
DE,24188,0.16925329428989752,0.6629575402635431,3415,24193,5
DE,24189,0.1553100061387354,0.7016574585635359,3258,24193,5
DE,24190,0.17410714285714285,0.6339285714285714,672,24193,5
DE,24191,0.18400211193241817,0.6488912354804647,3788,24193,5
DE,24192,0.15668464376951463,0.6857791654839626,3523,24193,5
DE,24193,0.15992102665350444,0.7038499506416585,3039,24193,5
DE,24194,0.12811937226652945,0.7522510933882172,3887,24193,5
DE,24195,0.12090395480225989,0.772316384180791,3540,24193,5
DE,24196,0.15423302598491198,0.6705783738474435,2386,24193,5
DE,24197,0.15030585493737256,0.7104573259539761,3433,24193,5
DE,24198,0.19072747832642292,0.6430456087448172,2653,24193,5
DE,24199,0.1505841627001298,0.6650800519255733,2311,24193,5
DE,24200,0.20159151193633953,0.6312997347480106,1508,24193,5
DE,24201,0.20765027322404372,0.6129326047358834,1098,24193,5
DE,24202,0.18606492478226444,0.6049089469517023,1263,24193,5
DE,24203,0.21847930702598653,0.5938402309913379,1039,24193,5
DE,24204,0.20827805784027595,0.6131599893871054,3769,24193,5
DE,24205,0.20845721836802114,0.5979517674264949,3027,24193,5
DE,24206,0.17351274787535412,0.6702077431539188,4236,24193,5
DE,24207,0.16240698802976383,0.697508896797153,3091,24193,5
DE,24208,0.17495395948434622,0.6519337016574586,543,24193,5
DE,24209,0.19334245326037391,0.6137710898312814,4386,24193,5
DE,24210,0.17792358162871477,0.6590119644924739,5182,24193,5
DE,24211,0.2479740680713128,0.6191247974068071,617,24193,5
DE,24212,0.2153960029607698,0.617813964964224,4053,24193,5
DE,24213,0.20395957929469993,0.613941018766756,4849,24193,5
DE,24214,0.21186803770351328,0.6088260497000857,4668,24193,5
DE,24215,0.22948539638386647,0.5706338168090602,5033,24193,5
DE,24216,0.17867061655249028,0.6530272171820033,5401,24193,5
DE,24217,0.18566176470588236,0.6586134453781513,3808,24193,5
DE,24218,0.2043312101910828,0.6489171974522293,3925,24193,5
DE,24219,0.2008226469876603,0.6445681103314783,4133,24193,5
DE,24220,0.17071509648127128,0.6574347332576618,4405,24193,5
DE,24221,0.21217357910906298,0.6033026113671275,5208,24193,5
DE,24222,0.225226827966554,0.5724959971535314,5621,24193,5
DE,24223,0.20235967107615302,0.6274579907043261,5594,24193,5
DE,24224,0.20605512878445548,0.6129688206055128,4426,24193,5
DE,24225,0.14220820189274447,0.7384227129337539,7925,24193,5
DE,24226,0.2583044982698962,0.5385813148788927,5780,24193,5
DE,24227,0.24967032967032968,0.552967032967033,4550,24193,5
DE,24228,0.18557648139641708,0.6531924666972898,6531,24193,5
DE,24229,0.24044117647058824,0.5720588235294117,4080,24193,5
DE,24230,0.21038193711753533,0.6252373918548217,4739,24193,5
DE,24231,0.2039730400851366,0.6053565094004967,5638,24193,5
DE,24232,0.2126426033289695,0.5853749766224051,5347,24193,5
DE,24233,0.22702793672164254,0.5765735442611916,5942,24193,5
DE,24234,0.2809963616008956,0.5293870696893367,7146,24193,5
DE,24235,0.2594613024207296,0.535799522673031,5866,24193,5
DE,24236,0.2416926272066459,0.5563343717549325,3852,24193,5
DE,24237,0.23303834808259588,0.48672566371681414,339,24193,5
DE,24238,0.21820343012395993,0.5907624384445577,5889,24193,5
DE,24239,0.17857142857142858,0.7261904761904762,168,24193,5
DE,24240,0.23635760490960359,0.588654834964339,6029,24193,5
DE,24241,0.22398506766215587,0.5895940270648623,4286,24193,5
DE,24242,0.25319789315274643,0.5568096313017307,5316,24193,5
DE,24243,0.26387377584330796,0.5703663402248821,5514,24193,5
DE,24244,0.24217365623154163,0.577869659381768,5079,24193,5
DE,24245,0.2323852617970265,0.598093083387201,6188,24193,5
DE,24246,0.2504387064427175,0.5607921784908498,7978,24193,5
DE,24247,0.18075380914194067,0.6558139534883721,6235,24193,5
DE,24248,0.23515131898365432,0.5911959864055673,6179,24193,5
DE,24249,0.2189702727551333,0.6189089794667484,6526,24193,5
DE,24250,0.194592262332806,0.6545376096648928,6953,24193,5
DE,24251,0.24756160164271046,0.5803388090349076,7792,24193,5
DK,24182,0.008064516129032258,0.967741935483871,124,24191,6
DK,24183,0.10566037735849057,0.8226415094339623,265,24191,6
DK,24184,0.13636363636363635,0.7323232323232324,198,24191,6
DK,24185,0.05859375,0.83203125,512,24191,6
DK,24186,0.07177033492822966,0.8564593301435407,418,24191,6
DK,24187,0.32897196261682243,0.5719626168224299,535,24191,6
DK,24188,0.07590759075907591,0.5841584158415841,303,24191,6
DK,24189,0.11714285714285715,0.7085714285714285,350,24191,6
DK,24190,0.04878048780487805,0.8414634146341463,82,24191,6
DK,24191,0.12448132780082988,0.6666666666666666,723,24191,6
DK,24192,0.08380681818181818,0.7400568181818182,704,24191,6
DK,24193,0.09368635437881874,0.814663951120163,491,24191,6
DK,24194,0.046875,0.796875,320,24191,6
DK,24195,0.06310679611650485,0.7961165048543689,206,24191,6
DK,24196,0.15126050420168066,0.6722689075630253,119,24191,6
DK,24197,0.06276150627615062,0.702928870292887,239,24191,6
DK,24198,0.047058823529411764,0.8823529411764706,170,24191,6
DK,24199,0.039473684210526314,0.8618421052631579,152,24191,6
DK,24201,0.030303030303030304,0.6868686868686869,99,24191,6
