country_code,country,main activity sector name,ETS information,year,value,unit
RO,Romania,41 Production of ammonia,1.1.1 Free allocation to existing entities (Art. 10a(1)),Total 3rd trading period (13-20),1725012,tonne of CO2 equ.
RO,Romania,41 Production of ammonia,2.1 EU-ETS Verified Emission,Total 3rd trading period (13-20),795064,tonne of CO2 equ.
RO,Romania,43 Production of hydrogen and synthesis gas,4. Total surrendered units,Total 3rd trading period (13-20),339543,tonne of CO2 equ.
BE,Belgium,21  Refining of mineral oil,4. Total surrendered units,2006,5636635,tonne of CO2 equ.
BE,Belgium,21  Refining of mineral oil,4. Total surrendered units,2020,5792283,tonne of CO2 equ.
BE,Belgium,21  Refining of mineral oil,4.1 Surrendered EU allowances (EUAs and EUAAs),2008,6305836,tonne of CO2 equ.
BE,Belgium,21  Refining of mineral oil,4.1 Surrendered EU allowances (EUAs and EUAAs),2010,6361609,tonne of CO2 equ.
BE,Belgium,21  Refining of mineral oil,4.1 Surrendered EU allowances (EUAs and EUAAs),2021,6039538,tonne of CO2 equ.
BE,Belgium,21-99 All industrial installations (excl. combustion),1.1 Freely allocated allowances,2019,29119216,tonne of CO2 equ.
BE,Belgium,21-99 All industrial installations (excl. combustion),1.1 Freely allocated allowances,2023,26623032,tonne of CO2 equ.
BE,Belgium,21-99 All industrial installations (excl. combustion),1.1 Freely allocated allowances,2024,26430717,tonne of CO2 equ.
BE,Belgium,21-99 All industrial installations (excl. combustion),2. Verified emissions,2011,27252180,tonne of CO2 equ.
BE,Belgium,21-99 All industrial installations (excl. combustion),2. Verified emissions,2012,25543593,tonne of CO2 equ.
BE,Belgium,21-99 All industrial installations (excl. combustion),2.1 EU-ETS Verified Emission,2013,28502908,tonne of CO2 equ.
BE,Belgium,20-99 All stationary installations,4.2 Surrendered certified emission reductions (CERs),2009,634893,tonne of CO2 equ.
BE,Belgium,20-99 All stationary installations,4.2 Surrendered certified emission reductions (CERs),2011,5679835,tonne of CO2 equ.
BE,Belgium,20-99 All stationary installations,4.2 Surrendered certified emission reductions (CERs),2012,5240641,tonne of CO2 equ.
BE,Belgium,20-99 All stationary installations,4.3 Surrendered emission reduction units (ERUs),2011,550873,tonne of CO2 equ.
BE,Belgium,20-99 All stationary installations,4.4 Surrendered Units CHU/CHUAA,2021,3513,tonne of CO2 equ.
BE,Belgium,21  Refining of mineral oil,1.1 Freely allocated allowances,2006,6580222,tonne of CO2 equ.
BE,Belgium,21  Refining of mineral oil,1.1 Freely allocated allowances,2009,6425618,tonne of CO2 equ.
BE,Belgium,21  Refining of mineral oil,1.1 Freely allocated allowances,2016,4891742,tonne of CO2 equ.
BE,Belgium,21  Refining of mineral oil,1.1 Freely allocated allowances,2020,4515655,tonne of CO2 equ.
BE,Belgium,21  Refining of mineral oil,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2013,0,tonne of CO2 equ.
BE,Belgium,21  Refining of mineral oil,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2014,0,tonne of CO2 equ.
BE,Belgium,21  Refining of mineral oil,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2015,0,tonne of CO2 equ.
BE,Belgium,25 Production or processing of ferrous metals,1.1 Freely allocated allowances,2005,707203,tonne of CO2 equ.
BE,Belgium,25 Production or processing of ferrous metals,1.1 Freely allocated allowances,2013,480411,tonne of CO2 equ.
BE,Belgium,25 Production or processing of ferrous metals,1.1 Freely allocated allowances,2014,471873,tonne of CO2 equ.
BE,Belgium,25 Production or processing of ferrous metals,1.1 Freely allocated allowances,2015,445608,tonne of CO2 equ.
BE,Belgium,25 Production or processing of ferrous metals,1.1.1 Free allocation to existing entities (Art. 10a(1)),2011,614447,tonne of CO2 equ.
BE,Belgium,25 Production or processing of ferrous metals,1.1.2 Free allocation from the new entrants reserve (Art. 10a(7)),2017,0,tonne of CO2 equ.
BE,Belgium,25 Production or processing of ferrous metals,4. Total surrendered units,2010,403697,tonne of CO2 equ.
BE,Belgium,25 Production or processing of ferrous metals,4. Total surrendered units,2017,437475,tonne of CO2 equ.
BE,Belgium,25 Production or processing of ferrous metals,4. Total surrendered units,2018,463087,tonne of CO2 equ.
BE,Belgium,25 Production or processing of ferrous metals,4.1 Surrendered EU allowances (EUAs and EUAAs),2009,265007,tonne of CO2 equ.
BE,Belgium,25 Production or processing of ferrous metals,4.1 Surrendered EU allowances (EUAs and EUAAs),2020,395168,tonne of CO2 equ.
