notice_id,ocid,contract_id,country,country_name,year,dispatch_date,award_date,tender_date,month,quarter,time_to_award_days,value_eur,value_usd,estimated_value_eur,value_local,currency_local,procedure_type,procurement_method,procurement_method_details,contract_type,is_framework,is_dps,buyer_id,buyer_name,buyer_address,buyer_city,buyer_postal_code,buyer_type,main_activity,supplier_id,supplier_name,supplier_address,supplier_city,supplier_postal_code,supplier_country,supplier_is_sme,n_bidders,n_bidders_sme,n_bidders_other_eu,n_bidders_non_eu,n_bidders_electronic,single_bidder,competitive,cpv_code,cpv_main,cpv_division,cpv_group,cpv_additional,nuts_code,gpa_covered,lot_number,lots_total,contract_number,contract_title,award_id,award_criteria,price_weight,info_non_award,awarded_to_group,flag_cancelled,flag_correction,flag_missing_value,flag_missing_dates,data_source
2020475241,ocds-ted-eu-2020475241,2020475241-4,PL,Poland,2018,2020-10-06 00:00:00,2020-07-30 00:00:00,2020-10-06 00:00:00,10,4,nan,96833.67,114263.7306,146181.26,96833.67,EUR,Open,open,OPE,Supplies,False,False,nan,Wojskowy Ośrodek Farmacji i Techniki Medycznej – Celestynów,Wojska Polskiego 57,Celestynów,05-430,Utilities,Defence,nan,Resculine Sp. z o.o.,nan,Zielona Góra,nan,PL,True,3.0,3.0,,,3.0,False,True,33182100,33182,33,331,33182100,PL,False,4,12.0,4,4 Defibrylator manualnykpl.gwarant 4 opcja 4,12024345.0,Most economically advantageous,,nan,False,False,False,False,False,EU_TED
2020188344,ocds-ted-eu-2020188344,2020188344-54,RO,Romania,2020,2020-04-21 00:00:00,NaT,2020-04-21 00:00:00,4,2,nan,131478.62,149885.62679999997,,131478.62,EUR,Open,open,OPE,Supplies,False,False,2540589,Spitalul Județean de Urgență Vâlcea,Calea lui Traian nr. 201,Râmnicu Vâlcea,240011,Public undertaking,Health,nan,nan,nan,nan,nan,nan,False,,,,,,None,None,33183200,33183,33,331,33141770,RO415,False,54,25.0,nan,nan,nan,Lowest price,,nan,False,False,False,False,True,EU_TED
,ocds-ted-eu-6887479,-3,HU,Hungary,2018,2023-02-28 00:00:00,None,2023-02-28 00:00:00,2,1,None,273250.02,322435.0236,,273250.02,EUR,Restricted,limited,RES,Supplies,False,True,15350394205,Edelényi Szociális Szolgáltató Központ,Árpád Út 29,Edelény,3783,Public undertaking,Social protection,,,,,,,False,,,,,,None,None,15000000.0,15000,15,150,15000000---15100000,HU311,True,3,7.0,,,,Lowest price,,,False,False,False,False,True,EU_TED
2013168381,ocds-ted-eu-2013168381,2013168381-nan,FR,France,2013,None,None,None,None,None,None,,,,,EUR,Open,open,OPE,Supplies,False,False,nan,Mairie de Salazie,1 place Théodore Simonette,Salazie,97433,Other,Not specified,nan,s.p.h.b.(societe de production des huiles de bourbon),zi no2,Saint pierre,97410,FR,False,2.0,,,,,False,True,15800000.0,15800,15,158,nan,FR940,True,nan,66.0,2013 48,HuileMontant mini annuel (H.T.) : 7 626;00euroMontant maxi annuel (H.T.) : 15 252.00euro,5736472.0,Most economically advantageous,,nan,False,False,False,True,True,EU_TED
,ocds-ted-eu-1470443,-13 - 461,DE,Germany,2022,2022-11-17 00:00:00,None,2022-11-17 00:00:00,11,4,None,,,,,EUR,Innovation partnership,limited,NIC,Supplies,True,False,None,PBMG eG,Ackermannstraße 34,Hamburg,22087,Utilities,Health,,,,,,,False,,,,,,None,None,33600000,33600,33,336,33600000,DE,False,13 - 461,2238.0,,,,None,,,False,False,False,True,True,EU_TED
,ocds-ted-eu-5701884,-3,LT,Lithuania,2018,2022-06-10 00:00:00,None,2022-06-10 00:00:00,6,2,None,,,,,EUR,Open,open,OPE,Supplies,False,False,211950810,Vilniaus universitetas,Universiteto g. 3,Vilnius,01513,Public undertaking,Education,,,,,,,False,,,,,,None,None,38600000.0,38600,38,386,38600000,LT,True,3,3.0,,,,Lowest price,,,False,False,False,True,True,EU_TED
2020274033,ocds-ted-eu-2020274033,2020274033-9,HU,Hungary,2020,2020-06-10 00:00:00,2020-05-15 00:00:00,2020-06-10 00:00:00,6,2,nan,72381.15,82514.51099999998,,72381.15,EUR,Open,open,OPE,Supplies,False,False,EKRSZ_35246750,Honvédelmi Minisztérium Védelemgazdasági Hivatal,Lehel utca 35–37.,Budapest,1135,Central government,Defence,EKRSZ_37595063,GARÉPSZER 93 Garázsipari Építő és Szerelő Korlátolt Felelősségű Társaság,Túzok köz 2.,Budapest,1106,HU,True,5.0,3.0,0.0,0.0,5.0,False,True,42600000,42600,42,426,42600000,HU333,True,9,9.0,HBTI/10-87/2020,Műhelyfelszerelések 2.,11614689.0,Most economically advantageous,8.0,nan,False,False,False,False,False,EU_TED
201429319,ocds-ted-eu-201429319,201429319-nan,FR,France,2014,None,None,None,None,None,None,3192.06,4245.4398,,3192.06,EUR,Open,open,OPE,Supplies,False,False,nan,CHU Amiens Picardie,Pôle investissements et logistique; 1 place Victor Pauchet – DAA – marchés publics,Amiens Cedex 1,80054,Utilities,Health,nan,Medtronic France SAS,27 quai Alphonse-le-Gallo - CS 30001,Boulogne-Billancourt Cedex,92513,FR,False,61.0,,,,,False,True,33140000.0,33140,33,331,33171100---33190000,FR223,True,nan,1.0,130258,Lot nº 1,6118654.0,nan,,nan,False,False,True,False,True,EU_TED
,ocds-ted-eu-244460,-nan,PL,Poland,2017,2017-05-17 00:00:00,None,2017-05-17 00:00:00,5,2,None,,,,,EUR,Open,open,OPE,Services,False,False,None,Zarząd Morskich Portów Szczecin i Świnoujście Spółka Akcyjna,ul. Bytomska 7,Szczecin,70-603,EU institution,Port-related activities,,,,,,,False,,,,,,None,None,71220000.0,71220,71,712,71240000---71247000---71248000,PL424,True,None,1.0,,,,None,,,False,False,False,True,True,EU_TED
,ocds-ted-eu-3519022,-6,PL,Poland,2018,2020-07-22 00:00:00,None,2020-07-22 00:00:00,7,3,None,,,,,EUR,Open,open,OPE,Supplies,False,False,None,Narodowy Instytut Onkologii im. Marii Skłodowskiej-Curie – Państwowy Instytut Badawczy,"ul. W. K. Roentgena 5, adres do korespondencji: ul. Wawelska 15B, 02-034 Warszawa",Warszawa,02-781,Utilities,Health,,,,,,,False,,,,,,None,None,33168000.0,33168,33,331,33169000,PL911,False,6,13.0,,,,Most economically advantageous,60.0,,False,False,False,True,True,EU_TED
