country,nace,year,ghg_tht,gva_meur,intensity_kg_eur
AT,S95,2023,2.36017,204.4,0.011547
AT,S96,2012,57.90206,1880.8,0.030786
AT,S96,2013,46.00376,1916.9,0.023999
AT,S96,2014,61.67882,1973.2,0.031258
AT,S96,2015,62.7728,2025.6,0.030990
AT,S96,2016,62.72324,2107.8,0.029758
AT,S96,2017,69.18015,2154.5,0.032110
AT,S96,2018,59.47284,2230.4,0.026665
AT,S96,2019,86.02819,2321.7,0.037054
AT,S96,2020,89.28029,2029.6,0.043989
AT,S96,2021,66.36606,2026.7,0.032746
AT,S96,2022,68.89976,2583.4,0.026670
AT,S96,2023,62.79152,2701.7,0.023241
AT,T,2012,0.0,145.2,0.000000
AT,T,2013,0.0,142.3,0.000000
AT,T,2014,0.0,141.2,0.000000
AT,T,2015,0.0,133.8,0.000000
AT,T,2016,0.0,142.9,0.000000
AT,T,2017,0.0,142.6,0.000000
AT,T,2018,0.0,139.6,0.000000
AT,T,2019,0.0,135.9,0.000000
AT,T,2020,0.0,136.1,0.000000
AT,T,2021,0.0,132.0,0.000000
AT,T,2022,0.0,133.9,0.000000
AT,T,2023,0.0,134.4,0.000000
AT,TOTAL,2012,60463.38286,281072.7,0.215117
AT,TOTAL,2013,58990.47411,285327.0,0.206747
AT,TOTAL,2014,56553.88454,293480.3,0.192701
AT,TOTAL,2015,57542.91421,303845.6,0.189382
AT,TOTAL,2016,56875.89212,315923.9,0.180030
AT,TOTAL,2017,59757.27978,326371.6,0.183096
AT,TOTAL,2018,57206.85693,341351.6,0.167589
AT,TOTAL,2019,60414.93088,352742.6,0.171272
AT,TOTAL,2020,54355.27752,340529.9,0.159620
AT,TOTAL,2021,56661.05573,362536.8,0.156290
AT,TOTAL,2022,57470.29325,402767.1,0.142689
AT,TOTAL,2023,54285.66668,429634.3,0.126353
BE,A,2012,11269.17378,3276.4,3.439499
BE,A,2013,11318.06154,3017.1,3.751305
BE,A,2014,11571.41613,2901.6,3.987943
