nkey,emis_t,n_install,nace,example_eutl,n_contracts,sb_rate,cpv,example_proc,log_emis
FLYBE,437733.2,1,51,Flybe Limited,5,0.8,60,Flybe,12.989364871341968
FORD ESPA A S L,51013.5,1,29,"FORD ESPAÑA, S.L.",33,0.0,34,Ford España; S.L.,10.839845582560395
FORD MOTOR,36714.069444444445,3,29,Ford Motor Company Limited,375,0.0,34,Ford Motor Company,10.510915324186449
FORD WERKE,96613.41666666667,3,29,Ford-Werke GmbH,295,0.13220338983050847,34,Ford-Werke GmbH,11.478472899445329
FORSCHUNGSZENTRUM J LICH,434.3,1,35,Forschungszentrum Jülich GmbH,52,0.6346153846153846,73,Forschungszentrum Jülich GmbH,6.073735539540777
FORTUM POWER AND HEAT,1593942.2666666666,16,35,Fortum Power and Heat Oy,21,0.42857142857142855,71,Fortum Power and Heat Oy,14.281720918521202
FORTUM POWER AND HEAT POLSKA SP Z O O,326106.30000000005,3,35,FORTUM POWER AND HEAT POLSKA SP. Z O.O.,48,0.8125,93,Fortum Power and Heat Polska Sp. z o.o.,12.694978680818028
FOURSTONES PAPER MILL,5725.0,1,35,Fourstones Paper Mill Company Limited,3,0.0,33,Fourstones Paper Mill,8.65259782842244
FRAMATOME,11332.777777777777,1,25,FRAMATOME,47,0.44680851063829785,50,Framatome GmbH,9.335454494120846
FRANZESE,6801.5,1,10,Franzese spa,10,0.0,15,Franzese SpA,8.824898455073484
FRESENIUS KABI,5351.2,1,21,Fresenius Kabi AB,3148,0.22490470139771285,33,Fresenius Kabi Ab,8.585076113804199
FRESENIUS MEDICAL CARE DEUTSCHLAND,83973.1,1,32,Fresenius Medical Care Deutschland GmbH,3,0.0,33,Fresenius Medical Care Deutschland GmbH,11.338251788443044
FREVAR KF,40198.4,1,38,FREVAR KF,5,0.0,90,Frevar KF,10.601582472820008
FRIEDRICH ALEXANDER UNIVERSIT T ERLANGEN N RNBERG,6308.833333333333,1,85,Friedrich-Alexander-Universität Erlangen-Nürnberg,6,0.3333333333333333,73,Friedrich-Alexander-Universität Erlangen-Nürnberg,8.749706046734394
