country,ym,cpv_division,n,sb,ge3,sum_offers
ES,201601,31,27,13,12,75
ES,201601,38,1,0,1,4
ES,201601,42,4,1,2,11
FR,201601,03,8,0,5,27
SI,201601,15,15,0,9,56
FR,201601,33,43,4,34,832
BE,201601,42,8,6,2,13
EE,201602,48,8,2,6,32
CZ,201601,18,1,0,1,4
CZ,201601,33,1,1,0,1
CZ,201601,24,3,2,0,4
FR,201601,31,6,4,2,10
CZ,201601,34,2,2,0,2
FI,201602,33,2,0,1,147
LV,201602,18,1,0,1,4
FI,201602,30,2,0,0,4
HU,201602,37,1,1,0,1
UK,201602,92,3,1,0,5
HR,201602,34,8,4,3,17
SE,201601,30,2,0,2,6
AT,201602,34,3,0,2,8
IT,201601,85,7,1,4,23
HR,201601,71,1,1,0,1
IT,201601,79,1,0,1,4
ES,201601,50,33,2,28,196
FR,201601,79,50,4,43,371
IT,201601,55,1,1,0,1
RO,201601,55,1,0,1,3
ES,201601,90,8,1,6,47
FR,201601,50,28,8,9,67
IT,201601,66,12,2,5,40
RO,201601,90,2,1,0,3
FR,201601,71,74,6,65,474
RO,201601,50,18,15,0,21
IT,201601,98,3,0,2,8
IT,201601,77,1,0,1,8
IT,201601,90,8,2,3,48
RO,201601,85,15,11,1,20
SK,201601,64,1,1,0,1
SK,201601,77,4,0,4,12
SK,201601,72,1,0,1,3
IE,201602,45,3,0,3,31
DE,201601,90,1,0,1,5
FR,201601,77,14,4,6,47
DE,201601,72,3,2,0,4
FR,201601,66,42,3,23,120
BE,201601,50,1,0,1,3
FR,201601,80,16,3,7,93
NL,201601,77,7,0,7,53
BE,201601,90,34,0,34,264
ES,201601,72,3,1,2,19
NL,201601,79,15,4,8,83
CY,201602,79,1,0,1,7
FR,201601,70,2,1,0,3
NL,201601,50,13,1,10,63
ES,201601,77,2,2,0,2
FR,201601,72,11,2,8,41
FR,201601,64,4,0,2,11
ES,201601,73,1,1,0,1
NL,201601,32,1,0,1,4
NL,201601,90,2,1,0,3
NL,201601,64,5,2,1,10
SI,201601,66,1,0,0,2
BE,201601,66,1,0,1,4
BE,201601,71,2,0,2,8
CZ,201601,77,162,0,160,14463
EE,201602,60,3,1,0,5
CZ,201601,50,3,1,0,5
FI,201602,85,3,0,1,8
LV,201602,55,5,3,1,8
CZ,201601,72,2,1,0,3
FI,201602,79,105,1,104,13767
SI,201602,55,5,4,0,6
SE,201601,50,1,0,1,3
SE,201602,80,4,0,3,32
HR,201601,44,4,0,1,9
HR,201601,18,4,4,0,4
IT,201601,09,3,1,2,7
FR,201601,35,6,1,4,21
RO,201601,72,1,1,0,1
